,Age,Gender,Occupation
1193,25,0,12
1194,25,1,1
1195,1,1,10
1196,18,1,14
1197,35,0,1
1198,1,0,10
1199,50,0,13
1200,1,0,0
1201,18,0,4
1202,35,0,12
1203,25,1,1
1204,25,0,7
1205,56,1,0
1206,50,1,7
1207,50,0,0
1208,25,0,0
1209,35,0,7
1210,25,0,17
1211,18,0,4
1212,50,1,1
1213,50,0,0
1214,56,0,13
1215,35,0,17
1216,25,0,2
1217,25,0,12
1218,56,0,15
1219,25,0,7
1220,1,0,10
1221,18,0,0
1222,35,0,0
1223,25,0,2
1224,50,0,13
1225,45,0,7
1226,18,0,20
1227,50,0,1
1228,25,0,1
1229,25,1,4
1230,25,0,11
1231,25,0,12
1232,18,1,4
1233,45,1,20
1234,18,0,4
1235,25,1,7
1236,25,1,1
1237,18,0,4
1238,35,1,20
1239,25,1,20
1240,18,1,14
1241,1,0,10
1242,35,1,0
1243,35,0,15
1244,25,0,4
1245,25,0,17
1246,18,0,4
1247,35,0,0
1248,35,1,20
1249,35,0,2
1250,50,0,0
1251,25,0,7
1252,56,0,13
1253,35,1,20
1254,18,1,1
1255,25,0,17
1256,25,0,20
1257,18,1,14
1258,45,0,7
1259,35,0,7
1260,25,0,17
1261,18,0,4
1262,25,0,4
1263,1,0,10
1264,25,0,1
1265,18,1,20
1266,25,0,4
1267,25,0,15
1268,50,0,2
1269,56,1,13
1270,25,0,6
1271,45,1,6
1272,18,0,20
1273,35,0,2
1274,45,0,7
1275,50,0,17
1276,35,0,17
1277,18,1,0
1278,18,0,4
1279,35,0,1
1280,1,0,10
1281,25,0,19
1282,50,0,1
1283,18,1,1
1284,45,0,16
1285,35,0,4
1286,35,0,17
1287,50,1,7
1288,35,1,19
1289,45,0,6
1290,35,0,0
1291,35,1,0
1292,25,0,7
1293,25,0,5
1294,50,1,20
1295,35,1,6
1296,1,0,0
1297,25,0,7
1298,35,0,6
1299,25,0,14
1300,1,0,10
1301,25,1,2
1302,18,0,4
1303,25,0,19
1304,25,0,14
1305,45,0,20
1306,25,0,3
1307,56,0,13
1308,1,0,10
1309,25,0,14
1310,45,0,0
1311,18,0,10
1312,25,0,14
1313,18,0,4
1314,18,1,4
1315,35,0,7
1316,50,0,2
1317,45,0,7
1318,18,0,16
1319,25,1,3
1320,25,0,4
1321,25,1,14
1322,56,0,0
1323,35,1,2
1324,35,0,16
1325,25,0,1
1326,25,1,0
1327,1,0,10
1328,35,0,14
1329,18,0,14
1330,56,0,1
1331,45,0,0
1332,25,0,7
1333,25,0,17
1334,50,0,7
1335,35,0,0
1336,50,1,20
1337,56,0,17
1338,25,0,0
1339,35,0,18
1340,25,0,7
1341,18,0,7
1342,35,0,0
1343,35,0,14
1344,25,1,9
1345,25,1,2
1346,35,0,20
1347,18,1,1
1348,1,1,10
1349,50,0,7
1350,35,1,0
1351,25,1,17
1352,35,0,20
1353,1,0,10
1354,25,1,2
1355,45,1,20
1356,18,1,4
1357,45,0,0
1358,35,0,17
1359,35,0,1
1360,25,0,20
1361,25,1,0
1362,35,0,12
1363,50,0,7
1364,45,1,2
1365,1,1,10
1366,1,0,10
1367,25,0,12
1368,25,1,3
1369,25,0,5
1370,35,0,2
1371,50,1,2
1372,1,0,10
1373,25,1,1
1374,50,0,1
1375,45,1,5
1376,45,1,1
1377,35,0,16
1378,45,1,7
1379,56,1,13
1380,1,0,10
1381,18,0,11
1382,45,1,1
1383,25,1,7
1384,18,0,10
1385,25,1,5
1386,25,1,0
1387,50,1,13
1388,56,0,20
1389,25,0,17
1390,35,0,16
1391,35,0,15
1392,45,0,3
1393,18,0,4
1394,25,1,3
1395,25,0,2
1396,25,1,12
1397,35,0,7
1398,56,1,16
1399,18,0,17
1400,25,0,7
1401,18,1,1
1402,18,0,4
1403,25,1,0
1404,50,0,16
1405,56,0,13
1406,25,0,4
1407,35,1,15
1408,25,0,0
1409,18,0,4
1410,50,0,7
1411,35,0,1
1412,25,0,17
1413,18,0,3
1414,18,0,4
1415,45,0,14
1416,25,0,14
1417,35,0,16
1418,18,0,4
1419,25,1,1
1420,18,0,4
1421,1,1,10
1422,35,0,17
1423,25,0,4
1424,35,0,0
1425,1,0,10
1426,18,0,14
1427,25,0,12
1428,45,1,11
1429,35,1,3
1430,18,0,4
1431,56,0,6
1432,35,0,1
1433,18,1,14
1434,1,1,10
1435,25,0,14
1436,50,1,6
1437,50,0,3
1438,18,0,2
1439,35,0,3
1440,35,0,12
1441,35,0,16
1442,18,0,2
1443,35,0,2
1444,25,1,4
1445,25,0,2
1446,35,0,12
1447,18,0,4
1448,25,1,3
1449,35,0,20
1450,18,0,4
1451,35,0,20
1452,56,1,13
1453,25,0,14
1454,18,0,4
1455,45,1,0
1456,25,0,2
1457,25,0,1
1458,1,0,0
1459,25,1,0
1460,18,1,4
1461,45,1,0
1462,35,0,16
1463,50,0,16
1464,35,0,12
1465,50,0,16
1466,18,0,4
1467,25,0,5
1468,1,0,14
1469,56,0,20
1470,18,0,4
1471,25,0,17
1472,25,0,7
1473,25,0,14
1474,25,0,4
1475,25,1,2
1476,18,1,0
1477,45,1,1
1478,1,0,10
1479,50,1,2
1480,25,0,20
1481,35,0,17
1482,25,0,7
1483,18,0,4
1484,25,0,12
1485,25,1,9
1486,25,0,16
1487,35,0,7
1488,25,0,7
1489,35,1,2
1490,50,0,7
1491,18,0,4
1492,25,0,12
1493,25,1,14
1494,25,0,17
1495,18,0,0
1496,25,0,17
1497,50,0,5
1498,18,0,4
1499,1,0,10
1500,25,0,17
1501,25,0,11
1502,18,0,4
1503,25,0,12
1504,18,0,19
1505,50,0,11
1506,25,0,7
1507,35,0,17
1508,1,1,10
1509,1,0,0
1510,25,1,1
1511,35,0,12
1512,25,0,20
1513,35,1,16
1514,18,0,4
1515,25,0,16
1516,25,1,12
1517,18,0,0
1518,25,0,2
1519,18,0,4
1520,25,0,17
1521,25,1,7
1522,35,0,20
1523,25,0,17
1524,18,0,4
1525,25,1,16
1526,56,0,17
1527,18,0,10
1528,25,0,15
1529,18,0,4
1530,25,0,4
1531,45,0,17
1532,18,0,14
1533,45,0,1
1534,50,0,12
1535,18,1,20
1536,35,1,3
1537,18,0,20
1538,25,0,3
1539,25,0,3
1540,45,0,0
1541,56,0,17
1542,18,0,17
1543,25,0,11
1544,25,0,12
1545,25,0,20
1546,25,0,4
1547,56,0,13
1548,35,0,1
1549,35,0,6
1550,18,0,4
1551,25,0,11
1552,45,0,20
1553,25,1,15
1554,35,1,12
1555,18,1,0
1556,18,0,4
1557,18,1,4
1558,18,0,6
1559,35,0,8
1560,25,1,3
1561,18,1,4
1562,18,0,20
1563,1,1,10
1564,50,0,1
1565,45,0,17
1566,35,0,16
1567,25,0,12
1568,1,1,10
1569,56,1,13
1570,18,0,17
1571,25,0,20
1572,25,1,3
1573,1,0,0
1574,25,0,6
1575,50,1,7
1576,45,1,9
1577,56,0,0
1578,18,0,4
1579,25,0,0
1580,18,1,4
1581,18,1,4
1582,18,0,0
1583,35,0,6
1584,25,0,19
1585,56,0,20
1586,45,0,7
1587,25,1,3
1588,25,0,11
1589,25,0,0
1590,35,0,1
1591,50,0,7
1592,35,0,7
1593,25,0,16
1594,35,1,20
1595,35,0,1
1596,18,1,5
1597,25,0,12
1598,35,0,13
1599,25,0,0
1600,35,0,7
1601,25,0,12
1602,25,1,7
1603,25,1,0
1604,25,0,11
1605,18,1,0
1606,35,1,3
1607,45,0,1
1608,25,0,11
1609,35,1,9
1610,25,0,11
1611,25,0,0
1612,25,0,17
1613,18,0,20
1614,35,0,0
1615,45,1,7
1616,25,0,0
1617,25,0,12
1618,50,0,0
1619,50,0,3
1620,25,0,20
1621,25,0,4
1622,18,0,4
1623,50,0,15
1624,25,0,0
1625,45,0,0
1626,18,0,4
1627,18,0,17
1628,18,0,20
1629,18,0,4
1630,45,0,17
1631,50,1,0
1632,25,0,16
1633,45,1,7
1634,56,1,0
1635,25,0,0
1636,25,1,19
1637,56,0,0
1638,18,1,17
1639,25,0,17
1640,35,0,17
1641,25,0,0
1642,50,0,13
1643,45,0,2
1644,18,0,12
1645,18,1,9
1646,25,0,20
1647,18,0,18
1648,50,0,14
1649,18,0,19
1650,25,0,19
1651,25,0,12
1652,25,0,16
1653,18,0,0
1654,45,1,0
1655,18,0,4
1656,25,0,17
1657,45,1,0
1658,35,1,6
1659,18,1,9
1660,25,1,2
1661,35,0,7
1662,25,0,12
1663,18,0,4
