,0,1,2,3,4,5,6
193,73,82,82,84,82,85,84
194,83,73,88,90,88,84,87
195,88,91,75,83,87,77,92
196,73,82,82,84,82,85,84
197,87,93,90,83,80,80,82
198,74,82,81,83,83,87,83
199,86,90,79,92,80,90,84
200,73,82,82,84,82,85,84
201,74,80,86,90,92,85,84
202,95,79,82,85,80,85,83
203,87,90,89,83,82,82,78
204,83,75,84,85,78,84,86
205,86,87,78,84,86,86,77
206,74,80,86,90,92,85,84
207,88,92,92,79,84,84,82
208,73,82,82,84,82,85,84
209,86,86,80,84,85,86,80
210,73,82,82,84,82,85,84
211,95,79,82,85,80,85,83
212,73,82,82,84,82,85,84
213,73,82,82,84,82,85,84
214,74,80,86,90,92,85,84
215,95,79,82,85,80,85,83
216,74,86,81,92,78,90,87
217,83,75,84,85,78,84,86
218,73,82,82,84,82,85,84
219,87,88,74,84,87,79,83
220,74,80,86,90,92,85,84
221,95,79,82,85,80,85,83
222,83,73,88,90,88,84,87
223,74,86,81,92,78,90,87
224,86,90,79,92,80,90,84
225,87,90,89,83,82,82,78
226,95,79,82,85,80,85,83
227,74,86,81,92,78,90,87
228,74,86,81,92,78,90,87
229,95,79,82,85,80,85,83
230,83,75,84,85,78,84,86
231,73,82,82,84,82,85,84
232,95,79,82,85,80,85,83
233,83,75,84,85,78,84,86
234,96,77,86,91,90,85,84
235,96,77,86,91,90,85,84
236,88,88,83,77,89,95,87
237,97,78,85,85,94,94,85
238,86,90,79,92,80,90,84
239,75,82,81,80,84,92,85
240,74,82,81,83,83,87,83
241,95,79,82,85,80,85,83
242,88,87,79,79,88,95,82
243,73,83,82,85,81,86,79
244,86,87,78,84,86,86,77
245,74,84,86,96,88,91,89
246,95,79,82,85,80,85,83
247,74,80,86,90,92,85,84
248,97,79,82,81,82,91,85
249,87,90,89,83,82,82,78
250,96,77,86,91,90,85,84
251,75,84,76,84,84,79,87
252,73,82,82,84,82,85,84
253,95,79,82,85,80,85,83
254,96,82,83,84,80,83,92
255,86,91,79,93,80,91,83
256,98,80,90,82,95,95,91
257,73,87,82,93,76,90,82
258,89,95,94,77,85,83,92
259,73,82,82,84,82,85,84
260,75,82,81,80,84,92,85
261,73,82,82,84,82,85,84
262,73,82,82,84,82,85,84
263,74,80,86,90,92,85,84
264,73,80,87,89,93,84,83
265,95,79,82,85,80,85,83
266,73,82,82,84,82,85,84
267,73,82,82,84,82,85,84
268,74,80,86,90,92,85,84
269,73,82,82,84,82,85,84
270,73,82,82,84,82,85,84
271,75,84,76,84,84,79,87
272,95,79,82,85,80,85,83
273,95,79,82,85,80,85,83
274,96,77,86,91,90,85,84
275,73,82,82,84,82,85,84
276,95,79,82,85,80,85,83
277,73,82,82,84,82,85,84
278,74,86,81,92,78,90,87
279,73,82,82,84,82,85,84
280,73,82,82,84,82,85,84
281,73,83,82,85,81,86,79
282,87,91,89,84,81,82,73
283,75,84,76,84,84,79,87
284,88,97,89,90,78,84,90
285,96,77,86,91,90,85,84
286,87,95,88,91,78,87,81
287,96,77,86,91,90,85,84
288,73,83,82,85,81,86,79
289,86,90,79,92,80,90,84
290,74,90,90,90,75,86,84
291,74,85,86,98,86,90,83
292,96,77,86,91,90,85,84
293,96,77,86,91,90,85,84
294,73,83,82,85,81,86,79
295,73,82,82,84,82,85,84
296,95,79,82,85,80,85,83
297,73,82,82,84,82,85,84
298,73,82,82,84,82,85,84
299,74,80,86,90,92,85,84
300,74,80,86,90,92,85,84
301,88,92,92,79,84,84,82
302,83,75,84,85,78,84,86
303,95,79,82,85,80,85,83
304,73,82,82,84,82,85,84
305,73,82,82,84,82,85,84
306,73,82,82,84,82,85,84
307,73,82,82,84,82,85,84
308,95,79,82,85,80,85,83
309,87,92,73,92,82,84,87
310,95,79,82,85,80,85,83
311,88,87,79,79,88,95,82
312,73,82,82,84,82,85,84
313,87,90,89,83,82,82,78
314,89,95,93,78,84,82,91
315,97,80,82,80,83,92,85
316,73,82,82,84,82,85,84
317,86,90,79,92,80,90,84
318,86,91,79,92,80,91,83
319,73,82,82,84,82,85,84
320,83,75,84,85,78,84,86
321,95,79,82,85,80,85,83
322,95,79,82,85,80,85,83
323,73,82,82,84,82,85,84
324,97,86,92,82,79,80,89
325,87,88,74,84,87,79,83
326,89,95,93,78,84,82,91
327,96,81,76,85,82,79,86
328,73,82,82,84,82,85,84
329,88,91,75,83,87,77,92
330,95,79,82,85,80,85,83
331,73,82,82,84,82,85,84
332,86,91,79,93,80,91,83
333,73,82,83,84,83,84,83
334,73,82,82,84,82,85,84
335,87,93,80,91,80,88,93
336,96,77,86,91,90,85,84
337,74,84,85,81,84,88,88
338,73,82,82,84,82,85,84
339,96,77,86,91,90,85,84
340,87,87,79,80,87,92,82
341,95,79,82,85,80,85,83
342,83,75,84,85,78,84,86
343,74,82,81,83,83,87,83
344,73,82,82,84,82,85,84
345,95,79,82,85,80,85,83
346,88,96,92,87,79,89,86
347,74,86,81,93,77,91,87
348,83,73,88,90,88,84,87
349,95,79,82,85,80,85,83
350,87,93,93,96,88,86,82
351,73,82,82,84,82,85,84
352,97,79,82,81,82,91,85
353,95,78,87,90,91,84,83
354,96,77,86,91,90,85,84
355,73,82,82,84,82,85,84
356,83,73,88,90,88,84,87
357,96,83,91,84,78,81,80
358,74,80,86,90,92,85,84
359,89,87,87,82,99,94,87
360,86,87,78,84,86,86,77
361,88,87,78,78,89,97,81
362,73,82,82,84,82,85,84
363,87,88,74,84,87,79,83
364,95,80,83,85,79,86,79
365,96,84,91,84,78,81,80
366,73,82,82,84,82,85,84
367,95,79,82,85,80,85,83
368,83,75,84,85,78,84,86
369,83,75,84,85,78,84,86
370,86,90,79,92,80,90,84
371,97,79,82,81,82,91,85
372,73,82,82,84,82,85,84
373,87,95,88,91,78,87,81
374,87,93,93,96,88,86,82
375,96,77,86,91,90,85,84
376,88,93,90,82,82,79,87
377,97,83,99,86,90,83,86
378,73,82,82,84,82,85,84
379,75,84,76,84,84,79,87
380,86,86,80,84,85,86,80
381,87,90,89,83,82,82,78
382,73,82,82,84,82,85,84
383,73,82,82,84,82,85,84
384,96,83,91,84,78,81,80
385,73,82,82,84,82,85,84
386,73,80,87,89,93,84,83
387,83,79,93,84,75,81,84
388,73,83,82,85,81,86,79
389,88,88,83,77,89,95,87
390,87,90,89,83,82,82,78
391,87,90,89,83,82,82,78
392,73,82,82,84,82,85,84
393,73,82,82,84,82,85,84
394,87,88,74,84,87,79,83
395,86,87,78,84,86,86,77
396,73,82,82,84,82,85,84
397,73,82,82,84,82,85,84
398,87,95,88,91,78,87,81
399,95,79,82,85,80,85,83
400,82,76,85,86,76,85,82
401,86,87,78,84,86,86,77
402,88,93,90,82,82,79,87
403,73,82,82,84,82,85,84
404,87,92,73,92,82,84,87
405,73,82,82,84,82,85,84
406,73,82,82,84,82,85,84
407,95,79,82,85,80,85,83
408,95,79,82,85,80,85,83
409,73,82,82,84,82,85,84
410,95,79,82,85,80,85,83
411,95,79,82,85,80,85,83
412,95,83,82,93,76,90,86
413,86,86,80,84,85,86,80
414,96,77,86,91,90,85,84
415,73,82,82,84,82,85,84
416,95,79,82,85,80,85,83
417,96,83,91,84,78,81,80
418,88,88,83,77,89,95,87
419,86,90,79,92,80,90,84
420,87,95,88,91,78,87,81
421,73,82,82,84,82,85,84
422,74,80,86,90,92,85,84
423,88,95,74,91,82,82,96
424,87,89,83,98,90,91,84
425,73,82,82,84,82,85,84
426,95,79,82,85,80,85,83
427,73,82,82,84,82,85,84
428,73,83,82,85,81,86,79
429,95,79,82,85,81,85,82
430,95,79,82,85,80,85,83
431,87,93,93,80,82,85,78
432,96,82,83,84,80,83,92
433,74,86,81,92,78,90,87
434,95,79,82,85,80,85,83
435,96,83,91,84,78,81,80
436,73,82,82,84,82,85,84
437,96,77,86,91,90,85,84
438,95,79,82,85,80,85,83
439,88,93,90,82,82,79,87
440,86,87,78,84,86,86,77
441,96,77,86,91,90,85,84
442,95,79,82,85,80,85,83
443,74,80,86,90,92,85,84
444,96,77,86,91,90,85,84
445,73,82,82,84,82,85,84
446,95,79,82,85,80,85,83
447,83,75,84,85,78,84,86
448,74,80,86,91,92,86,84
449,73,82,82,84,82,85,84
450,95,79,82,85,80,85,83
451,74,86,81,92,78,90,87
452,76,84,85,77,86,94,90
453,73,82,82,84,82,85,84
454,87,95,88,91,78,87,81
455,74,82,82,84,82,85,83
456,87,90,89,83,82,82,78
457,95,79,82,85,80,85,83
458,74,80,86,90,92,85,84
459,88,92,92,79,84,84,82
460,73,87,82,93,76,90,82
461,88,97,93,88,78,90,81
462,74,86,92,83,80,81,80
463,96,84,92,83,78,80,80
464,95,79,82,85,80,85,83
465,96,77,86,91,90,85,84
466,74,80,86,90,92,85,84
467,95,79,82,85,80,85,83
468,96,77,86,91,90,85,84
469,83,75,84,85,78,84,86
470,95,79,83,85,81,84,82
471,87,95,88,91,78,87,81
472,73,82,82,84,82,85,84
473,83,75,84,85,78,84,86
474,73,82,82,84,82,85,84
475,95,79,82,85,80,85,83
476,87,90,89,83,82,82,78
477,89,95,93,78,84,82,91
478,74,86,81,92,78,90,87
479,86,90,79,92,80,90,84
480,73,82,82,84,82,85,84
481,88,88,83,77,89,95,87
482,96,83,91,84,78,81,80
483,95,79,82,85,80,85,83
484,95,79,82,85,81,85,82
485,73,82,82,84,82,85,84
486,95,79,82,85,80,85,83
487,86,90,79,92,80,90,84
488,73,82,82,84,82,85,84
489,95,80,82,86,80,86,83
490,74,87,91,84,78,82,77
491,87,95,88,91,78,87,81
492,73,82,82,84,82,85,84
493,83,73,88,90,88,84,87
494,96,77,86,91,90,85,84
495,74,80,86,90,92,85,84
496,96,77,86,91,90,85,84
497,95,79,82,85,80,85,83
498,73,82,82,84,82,85,84
499,88,91,88,79,84,88,79
500,73,82,82,84,82,85,84
501,88,93,90,82,82,79,87
502,95,79,82,85,80,85,83
503,73,82,82,84,82,85,84
504,74,86,91,83,80,81,81
505,73,82,82,84,82,85,84
506,74,80,86,90,92,85,84
507,73,82,82,84,82,85,84
508,74,86,91,83,80,81,81
509,88,91,75,83,87,77,92
510,96,78,86,91,90,85,84
511,95,79,82,85,80,85,83
512,73,82,82,84,82,85,84
513,82,75,85,85,78,84,85
514,74,87,90,84,79,82,81
515,95,79,82,85,80,85,83
516,87,93,80,91,80,88,93
517,95,79,82,85,80,85,83
518,86,91,80,93,79,91,79
519,74,86,91,83,80,81,81
520,73,82,82,84,82,85,84
521,73,82,82,84,82,85,84
522,73,82,82,84,82,85,84
523,73,82,82,84,82,85,84
524,73,82,83,84,83,84,83
525,73,82,82,84,82,85,84
526,73,82,82,84,82,85,84
527,73,82,82,84,82,85,84
528,75,82,81,80,84,92,85
529,96,82,77,86,80,79,82
530,87,90,89,83,82,82,78
531,74,80,86,90,92,85,84
532,73,82,82,84,82,85,84
533,73,82,82,84,82,85,84
534,83,75,84,85,78,84,86
535,73,82,82,84,82,85,84
536,96,77,86,91,90,85,84
537,86,90,79,92,80,90,84
538,87,89,80,84,85,84,89
539,95,79,82,85,80,85,83
540,96,81,86,98,86,89,87
541,87,90,89,83,82,82,78
542,73,82,82,84,82,85,84
543,90,95,93,74,86,88,93
544,88,96,92,87,79,89,86
545,87,90,89,83,82,82,78
546,86,87,78,84,86,86,77
547,96,77,86,91,90,85,84
548,97,79,81,80,83,93,84
549,97,85,95,80,80,84,85
550,86,86,80,84,85,86,80
551,86,90,79,92,80,90,84
552,87,89,94,89,91,82,74
553,86,87,78,84,86,86,77
554,73,82,82,84,82,85,84
555,90,93,92,73,88,95,85
556,95,79,82,85,80,85,83
557,73,82,82,84,82,85,84
558,86,90,79,92,80,90,84
559,83,75,84,85,78,84,86
560,73,82,82,84,82,85,84
561,95,79,82,85,80,85,83
562,87,88,74,84,87,79,83
563,96,77,86,91,90,85,84
564,73,82,82,84,82,85,84
565,83,75,84,85,78,84,86
566,97,79,82,81,82,91,85
567,83,75,84,85,78,84,86
568,73,82,82,84,82,85,84
569,73,82,82,84,82,85,84
570,73,82,82,84,82,85,84
571,83,75,84,85,78,84,86
572,97,79,82,81,82,91,85
573,95,79,82,85,80,85,83
574,88,88,83,77,89,95,87
575,73,82,81,85,82,86,83
576,86,90,79,92,80,90,84
577,73,82,82,84,82,85,84
578,86,87,78,84,86,86,77
579,95,79,82,85,80,85,83
580,83,75,84,85,78,84,86
581,73,82,82,84,82,85,84
582,95,79,82,85,80,85,83
583,97,79,82,81,82,91,85
584,96,81,86,98,86,89,87
585,98,80,81,79,85,96,84
586,88,97,89,90,78,84,90
587,74,84,85,80,84,88,88
588,74,90,90,90,75,86,84
589,75,89,95,80,80,84,81
590,74,86,81,92,78,90,87
591,88,87,78,78,89,97,81
592,88,87,78,78,89,97,81
593,88,87,79,79,88,95,82
594,96,77,86,91,90,85,84
595,95,79,82,85,80,85,83
596,86,86,80,84,85,86,80
597,86,90,79,92,80,90,84
598,73,82,82,84,82,85,84
599,86,87,78,84,86,86,77
600,95,79,82,85,80,85,83
601,86,87,78,84,86,86,77
602,74,80,86,90,92,85,84
603,87,88,74,84,87,79,83
604,73,82,82,84,82,85,84
605,73,87,82,93,76,90,82
606,88,88,83,77,89,95,87
607,90,97,87,77,87,78,94
608,89,95,84,82,84,73,90
609,95,79,82,85,80,85,83
610,74,80,86,90,92,85,84
611,74,86,81,92,78,90,87
612,73,82,82,84,82,85,84
613,88,87,79,79,88,95,82
614,73,82,82,84,82,85,84
615,96,77,86,91,90,85,84
616,95,79,82,85,80,85,83
617,73,82,82,84,82,85,84
618,73,82,82,84,82,85,84
619,86,84,84,90,95,85,81
620,74,90,90,90,75,86,84
621,73,82,82,84,82,85,84
622,95,79,82,85,80,85,83
623,74,86,81,92,78,90,87
624,74,86,81,92,78,90,87
625,73,82,82,84,82,85,84
626,74,80,86,90,92,85,84
627,88,87,78,78,89,97,81
628,86,87,81,84,85,85,79
629,95,79,82,85,80,85,83
630,95,79,82,85,80,85,83
631,83,75,84,85,78,84,86
632,73,82,82,84,82,85,84
633,95,79,82,85,80,85,83
634,86,84,84,90,95,85,81
635,95,79,82,85,80,85,83
636,74,86,81,92,78,90,87
637,95,79,82,85,80,85,83
638,73,82,82,84,82,85,84
639,95,79,82,85,80,85,83
640,95,79,82,85,80,85,83
641,73,82,82,84,82,85,84
642,73,82,83,84,83,84,83
643,88,93,92,80,84,85,82
644,83,75,84,85,78,84,86
645,73,82,82,84,82,85,84
646,95,79,82,85,80,85,83
647,86,87,79,85,85,86,80
648,88,93,93,78,85,85,83
649,74,80,86,90,92,85,84
650,95,79,82,85,80,85,83
651,95,79,82,85,80,85,83
652,83,75,84,85,78,84,86
653,73,82,82,84,82,85,84
654,86,91,80,93,79,91,79
655,73,82,82,84,82,85,84
656,88,87,78,78,89,97,81
657,86,90,79,92,80,90,84
658,95,79,82,85,80,85,83
659,95,79,82,85,80,85,83
660,86,87,81,84,85,85,79
661,73,82,82,84,82,85,84
662,87,90,89,83,82,82,78
663,73,82,82,84,82,85,84
664,73,82,82,84,82,85,84
665,73,82,82,84,82,85,84
666,96,82,83,84,80,83,92
667,73,82,82,84,82,85,84
668,98,82,85,75,86,98,90
669,88,91,84,80,87,86,94
670,74,90,90,90,75,86,84
671,73,82,82,84,82,85,84
672,74,86,81,92,78,90,87
673,73,82,82,84,82,85,84
674,87,89,81,83,85,83,89
675,86,87,80,85,83,86,76
676,74,82,80,84,83,85,80
677,86,87,78,84,86,86,77
678,73,82,82,84,82,85,84
679,73,82,82,84,82,85,84
680,74,80,86,90,92,85,84
681,97,86,96,80,80,83,84
682,86,84,84,90,95,85,81
683,96,77,86,91,90,85,84
684,88,97,89,90,78,84,90
685,73,82,82,84,82,85,84
686,87,90,89,83,82,82,78
687,86,91,79,93,80,91,83
688,86,90,79,92,80,90,84
689,74,80,86,90,92,85,84
690,73,82,82,84,82,85,84
691,73,82,82,84,82,85,84
692,95,79,82,85,80,85,83
693,73,82,82,84,82,85,84
694,73,82,82,84,82,85,84
695,73,82,82,84,82,85,84
696,88,92,92,79,84,84,82
697,95,79,82,85,80,85,83
698,73,82,82,84,82,85,84
699,86,91,80,93,78,91,79
700,96,77,86,91,90,85,84
701,88,87,79,79,88,95,82
702,95,79,82,85,80,85,83
703,88,88,83,77,89,95,87
704,73,82,82,84,82,85,84
705,73,82,82,84,82,85,84
706,86,86,80,84,85,86,80
707,73,82,82,84,82,85,84
708,86,87,80,85,83,86,76
709,95,79,82,85,80,85,83
710,96,82,83,84,80,83,92
711,95,79,82,85,80,85,83
712,87,87,79,83,86,88,80
713,73,82,82,84,82,85,84
714,86,87,78,84,86,86,77
715,73,82,82,84,82,85,84
716,75,84,76,84,84,79,87
717,95,79,82,85,80,85,83
718,73,82,82,84,82,85,84
719,86,87,78,84,86,86,77
720,95,79,82,85,80,85,83
721,73,82,82,84,82,85,84
722,73,82,82,84,82,85,84
723,86,91,79,93,80,91,83
724,86,87,80,85,83,86,76
725,88,96,92,87,79,89,86
726,95,79,82,85,80,85,83
727,96,81,76,85,82,79,86
728,88,95,96,92,89,89,86
729,88,93,90,82,82,79,87
730,73,82,82,84,82,85,84
731,95,79,82,85,80,85,83
732,87,89,80,82,86,86,89
733,87,92,73,92,82,84,87
734,95,79,82,85,80,85,83
735,73,82,82,84,82,85,84
736,96,84,81,91,77,93,86
737,86,87,79,85,85,86,80
738,95,79,82,85,80,85,83
739,88,97,89,90,78,84,90
740,73,82,82,84,82,85,84
741,87,89,82,83,85,83,88
742,95,79,82,85,80,85,83
743,96,77,86,91,90,85,84
744,83,75,84,85,78,84,86
745,88,88,83,77,89,95,87
746,75,82,81,80,84,92,85
747,86,87,78,84,86,86,77
748,73,82,82,84,82,85,84
749,73,82,82,84,82,85,84
750,86,87,78,84,86,86,77
751,86,87,81,84,85,85,79
752,87,88,83,81,87,88,85
753,95,80,83,86,79,85,79
754,73,82,82,84,82,85,84
755,74,80,86,90,92,85,84
756,83,75,84,85,78,84,86
757,73,82,82,84,82,85,84
758,73,82,82,84,82,85,84
759,73,82,82,84,82,85,84
760,86,87,78,84,86,86,77
761,73,82,82,84,82,85,84
762,83,75,84,85,78,84,86
763,95,79,82,85,80,85,83
764,73,82,82,84,82,85,84
765,73,82,82,84,82,85,84
766,87,88,74,84,87,79,83
767,83,75,84,85,78,84,86
768,86,87,81,84,85,85,79
769,73,82,82,84,82,85,84
770,74,80,86,90,92,85,84
771,87,93,91,82,82,79,86
772,73,82,82,84,82,85,84
773,86,90,79,92,80,90,84
774,88,87,78,78,89,97,81
775,95,79,82,85,80,85,83
776,95,79,82,85,80,85,83
777,87,95,88,91,78,87,81
778,86,87,78,84,86,86,77
779,97,80,88,89,91,83,94
780,73,82,82,84,82,85,84
781,73,82,82,84,82,85,84
782,86,87,78,84,86,86,77
783,86,87,80,83,86,87,81
784,73,82,82,84,82,85,84
785,83,75,84,85,78,84,86
786,73,82,82,84,82,85,84
787,73,82,82,84,82,85,84
788,95,79,82,85,80,85,83
789,88,96,92,87,79,89,86
790,96,81,76,85,82,79,86
791,73,82,81,85,82,86,83
792,97,79,82,81,82,91,85
793,74,80,86,90,92,85,84
794,86,84,84,90,95,85,81
795,96,77,86,91,90,85,84
796,73,82,82,84,82,85,84
797,73,82,82,84,82,85,84
798,96,77,86,91,90,85,84
799,88,88,83,77,89,95,87
800,88,92,92,79,84,84,82
801,97,80,82,80,83,92,85
802,95,79,82,85,80,85,83
803,73,82,82,84,82,85,84
804,95,79,82,85,80,85,83
805,73,82,82,84,82,85,84
806,87,95,88,92,77,87,81
807,73,82,82,84,82,85,84
808,95,79,82,85,80,85,83
809,83,75,84,85,78,84,86
810,73,82,82,84,82,85,84
811,86,84,84,90,95,85,81
812,73,82,82,84,82,85,84
813,73,82,82,84,82,85,84
814,73,82,82,84,82,85,84
815,96,77,86,91,90,85,84
816,73,82,82,84,82,85,84
817,73,82,82,84,82,85,84
818,88,88,83,77,89,95,87
819,96,79,82,84,81,86,82
820,95,79,82,85,80,85,83
821,73,82,82,84,82,85,84
822,74,86,81,92,78,90,87
823,95,79,82,85,80,85,83
824,95,79,82,85,80,85,83
825,73,82,82,84,82,85,84
826,88,96,92,87,79,89,86
827,97,79,82,81,82,91,85
828,83,73,88,90,88,84,87
829,87,95,88,91,78,87,81
830,95,79,82,85,80,85,83
831,87,88,74,84,87,79,83
832,87,88,74,84,87,79,83
833,73,82,82,84,82,85,84
834,73,82,82,84,82,85,84
835,73,82,82,84,82,85,84
836,73,82,82,84,82,85,84
837,83,75,84,85,78,84,86
838,73,82,82,84,82,85,84
839,89,99,93,86,79,87,95
840,73,83,82,85,81,86,79
841,73,82,82,84,82,85,84
842,96,77,86,91,90,85,84
843,73,82,82,84,82,85,84
844,73,82,82,84,82,85,84
845,73,82,82,84,82,85,84
846,95,79,82,85,80,85,83
847,73,82,82,84,82,85,84
848,74,87,91,84,78,82,77
849,86,87,78,84,86,86,77
850,95,79,82,85,80,85,83
851,87,95,88,91,78,87,81
852,73,82,82,84,82,85,84
853,95,79,82,85,80,85,83
854,83,75,84,85,78,84,86
855,73,82,82,84,82,85,84
856,74,85,86,98,86,90,83
857,95,80,83,86,79,85,79
858,95,79,82,85,80,85,83
859,86,87,80,85,83,86,76
860,95,79,82,85,80,85,83
861,95,79,82,85,80,85,83
862,73,82,82,84,82,85,84
863,73,82,82,84,82,85,84
864,73,83,82,85,81,86,79
865,73,82,82,84,82,85,84
866,87,90,89,83,82,82,78
867,73,82,82,84,82,85,84
868,73,82,82,84,82,85,84
869,87,88,74,84,87,79,83
870,87,93,80,91,80,88,93
871,97,79,82,81,82,91,85
872,74,86,81,92,78,90,87
873,73,82,82,84,82,85,84
